               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.021475,            0.015048,           0.0076172,             0.95256,             0.96382,             0.98299,             0.79684,            0.013938,           0.0089278,           0.0032892,            0.006931,            0.006931,            0.006931
                  95,             0.02046,            0.015136,           0.0068197,             0.96165,             0.97157,             0.98509,             0.79828,            0.014773,           0.0092271,            0.002791,            0.006898,            0.006898,            0.006898
                  96,            0.020731,            0.015027,           0.0062769,             0.97341,              0.9802,             0.98355,             0.80492,            0.013906,           0.0088252,           0.0027033,            0.006865,            0.006865,            0.006865
                  97,            0.021195,            0.014909,           0.0068878,             0.96301,             0.95568,             0.97957,             0.78986,            0.013891,           0.0088792,           0.0033412,            0.006832,            0.006832,            0.006832
                  98,            0.021646,            0.014705,           0.0067976,             0.96336,             0.95084,             0.98167,             0.80018,            0.013761,            0.009079,           0.0030864,            0.006799,            0.006799,            0.006799
                  99,            0.020673,            0.014598,           0.0063692,             0.95744,             0.96377,             0.98167,             0.80073,            0.014656,            0.009032,           0.0029555,            0.006766,            0.006766,            0.006766
                 100,            0.020704,            0.014859,           0.0069239,             0.96363,             0.95771,             0.98334,             0.80965,            0.014278,           0.0089435,           0.0028133,            0.006733,            0.006733,            0.006733
                 101,             0.02075,            0.014815,           0.0061108,             0.97452,             0.96304,             0.98301,             0.80199,            0.014238,           0.0091676,           0.0025146,              0.0067,              0.0067,              0.0067
                 102,            0.020582,            0.014745,           0.0059372,             0.95775,             0.96756,             0.98359,             0.80147,             0.01293,            0.008911,           0.0027211,            0.006667,            0.006667,            0.006667
                 103,            0.020884,            0.014492,           0.0060877,             0.95057,             0.96581,             0.98267,             0.80103,            0.012958,           0.0089734,           0.0030814,            0.006634,            0.006634,            0.006634
                 104,            0.020601,            0.014451,           0.0066024,             0.96111,             0.97298,             0.98479,             0.80318,            0.013586,           0.0089569,           0.0026041,            0.006601,            0.006601,            0.006601
                 105,            0.020643,            0.014357,           0.0067713,             0.95911,             0.94865,             0.97863,             0.79442,              0.0145,           0.0090654,           0.0029172,            0.006568,            0.006568,            0.006568
                 106,            0.020746,            0.014725,           0.0069133,             0.97337,             0.95601,             0.98007,             0.79698,            0.014984,           0.0095774,           0.0033642,            0.006535,            0.006535,            0.006535
                 107,            0.020919,            0.014563,           0.0062008,             0.96519,              0.9672,             0.97991,             0.80261,            0.014261,           0.0091183,           0.0024362,            0.006502,            0.006502,            0.006502
                 108,            0.020429,            0.014717,           0.0061505,             0.96703,             0.96763,             0.98173,              0.8057,            0.013398,           0.0087237,           0.0030052,            0.006469,            0.006469,            0.006469
                 109,            0.020354,            0.014481,           0.0070191,              0.9658,              0.9601,             0.98222,             0.80611,            0.014012,           0.0088665,           0.0025115,            0.006436,            0.006436,            0.006436
                 110,            0.020561,            0.014777,           0.0065851,             0.94983,             0.97461,             0.98324,             0.81107,            0.013568,           0.0088293,           0.0024514,            0.006403,            0.006403,            0.006403
                 111,            0.020268,            0.014474,           0.0059694,             0.96386,             0.96048,             0.98189,              0.8005,            0.014084,            0.009101,            0.002644,             0.00637,             0.00637,             0.00637
                 112,            0.019931,            0.014868,           0.0066255,             0.95614,             0.96899,             0.98087,             0.80073,            0.014137,           0.0088461,           0.0027618,            0.006337,            0.006337,            0.006337
                 113,            0.019706,            0.013995,           0.0061622,             0.95638,             0.96159,             0.97832,             0.79794,            0.014433,           0.0091341,           0.0032563,            0.006304,            0.006304,            0.006304
                 114,            0.020536,            0.014646,           0.0062084,             0.95592,             0.97259,              0.9835,             0.81033,            0.013182,           0.0086977,           0.0028153,            0.006271,            0.006271,            0.006271
                 115,            0.019682,             0.01415,           0.0059178,             0.96032,             0.96715,             0.98337,             0.80252,            0.014255,           0.0090377,           0.0024772,            0.006238,            0.006238,            0.006238
                 116,            0.020016,            0.014677,           0.0064475,             0.96308,             0.96403,             0.98106,             0.79929,            0.014527,           0.0089836,           0.0027038,            0.006205,            0.006205,            0.006205
                 117,            0.020675,            0.014519,           0.0065151,             0.96064,             0.97086,             0.98316,             0.80842,            0.014643,           0.0089625,           0.0026483,            0.006172,            0.006172,            0.006172
                 118,            0.020331,            0.013906,           0.0062172,              0.9717,             0.96777,             0.98796,             0.81086,            0.014923,           0.0088672,           0.0029354,            0.006139,            0.006139,            0.006139
                 119,            0.020738,            0.014624,           0.0062201,             0.95875,             0.96998,             0.98448,             0.80651,            0.014237,           0.0088203,           0.0026613,            0.006106,            0.006106,            0.006106
                 120,            0.020152,            0.014657,           0.0059417,             0.96047,             0.97146,             0.98469,              0.8129,            0.013649,           0.0087616,            0.002455,            0.006073,            0.006073,            0.006073
                 121,            0.020042,            0.014065,           0.0058382,             0.96247,             0.96869,             0.98362,             0.81087,            0.013263,           0.0086103,           0.0025511,             0.00604,             0.00604,             0.00604
                 122,            0.020055,            0.014215,           0.0055244,             0.95703,             0.97271,             0.98524,             0.81279,            0.013763,           0.0086158,           0.0024439,            0.006007,            0.006007,            0.006007
                 123,            0.019905,            0.014406,           0.0060157,              0.9736,             0.95364,             0.98498,             0.81689,            0.013354,           0.0088312,           0.0025978,            0.005974,            0.005974,            0.005974
                 124,            0.019297,            0.014239,           0.0053519,             0.96344,              0.9708,              0.9843,             0.80987,            0.012856,           0.0085902,           0.0024782,            0.005941,            0.005941,            0.005941
                 125,            0.019419,            0.014441,           0.0056481,             0.95904,             0.97252,             0.98233,             0.81588,            0.013168,           0.0085058,           0.0025411,            0.005908,            0.005908,            0.005908
                 126,            0.019189,            0.014076,             0.00501,             0.96179,             0.97285,              0.9839,             0.82226,            0.013292,           0.0087088,           0.0025041,            0.005875,            0.005875,            0.005875
                 127,            0.019807,            0.014062,           0.0059174,             0.97524,              0.9616,             0.98398,             0.81589,            0.013562,           0.0086749,           0.0024375,            0.005842,            0.005842,            0.005842
                 128,             0.01941,            0.014057,           0.0054736,             0.97088,             0.96417,             0.98233,             0.80954,            0.013961,           0.0088364,           0.0024947,            0.005809,            0.005809,            0.005809
                 129,            0.019094,            0.013912,           0.0053381,             0.97207,             0.96904,             0.98249,             0.81325,            0.013466,           0.0089337,           0.0022852,            0.005776,            0.005776,            0.005776
                 130,            0.019299,            0.014088,           0.0058347,             0.96857,             0.97671,             0.98519,             0.81141,            0.013748,           0.0086796,           0.0023197,            0.005743,            0.005743,            0.005743
